 main2015 八月 27 20:33:47,357 DEBUG io.netty.util.internal.PlatformDependent Platform: Windows
 main2015 八月 27 20:33:47,358 DEBUG io.netty.util.internal.PlatformDependent Java version: 7
 main2015 八月 27 20:33:47,358 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noUnsafe: false
 main2015 八月 27 20:33:47,358 DEBUG io.netty.util.internal.PlatformDependent sun.misc.Unsafe: available
 main2015 八月 27 20:33:47,359 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noJavassist: false
 main2015 八月 27 20:33:47,362 DEBUG io.netty.util.internal.PlatformDependent Javassist: unavailable
 main2015 八月 27 20:33:47,362 DEBUG io.netty.util.internal.PlatformDependent You don't have Javassist in your class path or you don't have enough permission to load dynamically generated classes.  Please check the configuration for better performance.
 main2015 八月 27 20:33:47,363 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.tmpdir: C:\Users\taojiaen\AppData\Local\Temp (java.io.tmpdir)
 main2015 八月 27 20:33:47,364 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.bitMode: 64 (sun.arch.data.model)
 main2015 八月 27 20:33:47,365 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noPreferDirect: false
 main2015 八月 27 20:33:47,461 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.noKeySetOptimization: false
 main2015 八月 27 20:33:47,462 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.selectorAutoRebuildThreshold: 512
 main2015 八月 27 20:33:47,543 INFO  org.ddpush.im.v1.node.udpconnector.UdpConnector udp connector port
 main2015 八月 27 20:33:47,634 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.numHeapArenas: 1
 main2015 八月 27 20:33:47,635 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.numDirectArenas: 1
 main2015 八月 27 20:33:47,635 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.pageSize: 8192
 main2015 八月 27 20:33:47,635 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.maxOrder: 11
 main2015 八月 27 20:33:47,636 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.chunkSize: 16777216
 main2015 八月 27 20:33:47,636 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.tinyCacheSize: 512
 main2015 八月 27 20:33:47,636 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.smallCacheSize: 256
 main2015 八月 27 20:33:47,636 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.normalCacheSize: 64
 main2015 八月 27 20:33:47,637 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.maxCachedBufferCapacity: 32768
 main2015 八月 27 20:33:47,637 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.cacheTrimInterval: 8192
 main2015 八月 27 20:33:47,753 DEBUG io.netty.util.internal.ThreadLocalRandom -Dio.netty.initialSeedUniquifier: 0xcb0c24576322d106 (took 54 ms)
 IMServer-push-listener2015 八月 27 20:33:47,896 DEBUG io.netty.buffer.ByteBufUtil -Dio.netty.allocator.type: unpooled
 IMServer-push-listener2015 八月 27 20:33:47,896 DEBUG io.netty.buffer.ByteBufUtil -Dio.netty.threadLocalDirectBufferSize: 65536
 IMServer-push-listener2015 八月 27 20:33:47,964 INFO  org.ddpush.im.v1.node.udpconnector.UdpConnector udp connector port:9966
 main2015 八月 27 20:33:48,448 DEBUG io.netty.util.NetUtil Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
 IMServer-push-listener2015 八月 27 20:33:48,450 DEBUG io.netty.util.NetUtil \proc\sys\net\core\somaxconn: 200 (non-existent)
 IMServer-push-listener2015 八月 27 20:33:48,463 INFO  org.ddpush.im.v1.node.pushlistener.NettyPushListener Netty TCP Push Listener nio provider: io.netty.bootstrap.ServerBootstrap with 3 workers
 IMServer-push-listener2015 八月 27 20:33:59,743 DEBUG io.netty.util.Recycler -Dio.netty.recycler.maxCapacity.default: 256
 org.ddpush.im.v1.node.udpconnector.UdpConnector-9298541562015 八月 27 20:33:59,788 DEBUG io.netty.util.ResourceLeakDetector -Dio.netty.leakDetectionLevel: paranoid
 org.ddpush.im.v1.node.udpconnector.UdpConnector-9298541562015 八月 30 11:47:14,695 DEBUG io.netty.util.internal.logging.InternalLoggerFactory Using SLF4J as the default logging framework
 main2015 八月 30 11:47:14,796 DEBUG io.netty.channel.MultithreadEventLoopGroup -Dio.netty.eventLoopThreads: 8
 main2015 八月 30 11:47:14,845 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Buffer.address: available
 IMServer-push-listener2015 八月 30 11:47:14,848 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.theUnsafe: available
 IMServer-push-listener2015 八月 30 11:47:14,849 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.copyMemory: available
 IMServer-push-listener2015 八月 30 11:47:14,850 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Bits.unaligned: true
 IMServer-push-listener2015 八月 30 11:47:14,851 DEBUG io.netty.util.internal.PlatformDependent Platform: Windows
 IMServer-push-listener2015 八月 30 11:47:14,854 DEBUG io.netty.util.internal.PlatformDependent Java version: 7
 IMServer-push-listener2015 八月 30 11:47:14,854 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noUnsafe: false
 IMServer-push-listener2015 八月 30 11:47:14,855 DEBUG io.netty.util.internal.PlatformDependent sun.misc.Unsafe: available
 IMServer-push-listener2015 八月 30 11:47:14,856 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noJavassist: false
 IMServer-push-listener2015 八月 30 11:47:14,860 DEBUG io.netty.util.internal.PlatformDependent Javassist: unavailable
 IMServer-push-listener2015 八月 30 11:47:14,861 DEBUG io.netty.util.internal.PlatformDependent You don't have Javassist in your class path or you don't have enough permission to load dynamically generated classes.  Please check the configuration for better performance.
 IMServer-push-listener2015 八月 30 11:47:14,862 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.tmpdir: C:\Users\taojiaen\AppData\Local\Temp (java.io.tmpdir)
 IMServer-push-listener2015 八月 30 11:47:14,864 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.bitMode: 64 (sun.arch.data.model)
 IMServer-push-listener2015 八月 30 11:47:14,864 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noPreferDirect: false
 IMServer-push-listener2015 八月 30 11:47:15,017 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.noKeySetOptimization: false
 main2015 八月 30 11:47:15,018 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.selectorAutoRebuildThreshold: 512
 main2015 八月 30 11:47:15,136 INFO  org.ddpush.im.v1.node.udpconnector.UdpConnector udp connector port
 main2015 八月 30 11:47:15,254 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.numHeapArenas: 1
 main2015 八月 30 11:47:15,255 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.numDirectArenas: 1
 main2015 八月 30 11:47:15,255 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.pageSize: 8192
 main2015 八月 30 11:47:15,256 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.maxOrder: 11
 main2015 八月 30 11:47:15,256 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.chunkSize: 16777216
